"label","id","Degree","Betweenness","Pagerank","Cluster","Gene","Strain","Diameter","Count","N","Essential","Var","TIGR4.old.x","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description","Essential.Count","Essential.Call","TIGR4.old.y","TIGR4.new","TAIWAN.19F.new","D39.old","D39.new"
"SPT_1557",24,95,273.723168329324,0.961630341981766,2682,"SPT_RS07730","19F",0.121567405934332,173,135,FALSE,0.991233142491731,"SP_1617","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"FrwC","Putative PTS system, IIC component ",0,"Nonessential","SP_1617","SP_RS07975","SPT_RS07730","n.p.","n.p"
"SPT_0954",25,5,630.037879669146,1.76939194845012e-08,2310,"SPT_RS04725","19F",0.271185996133097,744,371,TRUE,0.638929171074923,"SP_1273","Membrane","METABOLISM",NA,NA,"Cell wall metabolism",NA,NA,1,"LicD1","Lipopolysaccharide cholinephosphotransferase",12,"Evolvable.Essential","SP_1273","SP_RS06240","SPT_RS04725","SPD_1129","SPD_RS05970"
"SPT_0953",26,5,630.037879669146,1.76939194812874e-08,2310,"SPT_RS04720","19F",0.271185996133097,744,371,FALSE,0.334594668826192,"SP_1274","Membrane","METABOLISM",NA,NA,"Cell wall metabolism",NA,NA,1,"LicD2","Lipopolysaccharide cholinephosphotransferase LicD2 ",12,"Evolvable.Essential","SP_1274","SP_RS06245","SPT_RS04720","SPD_1130","SPD_RS05975"
"SPT_0609",29,13,544.737608005851,0.00922440362390627,1892,"SPT_RS03035","19F",0.0030795129793737,372,371,FALSE,0.536090159427614,"SP_0579","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"pheS","phenylalanyl-tRNA synthetase subunit alpha",15,"Essential","SP_0579","SP_RS02865","SPT_RS03035","SPD_0504","SPD_RS02710"
"SPT_0611",30,13,544.737608005851,0.00922440362390626,3306,"SPT_RS03045","19F",0.0194840767642116,372,371,TRUE,0.490125589688973,"SP_0581","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"pheT","phenylalanyl-tRNA synthetase subunit beta",15,"Essential","SP_0581","SP_RS02875","SPT_RS03045","SPD_0506","SPD_RS02720"
"SPT_1889",33,5,0,8.91982235797547e-06,2454,"SPT_RS09385","19F",0.027430716817712,361,347,FALSE,1.03952305940289,"SP_1931",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_1931","SP_RS09705","SPT_RS09385","SPD_1732","SPD_RS09155"
"SPT_2245",36,7,0.307692307692308,3.52034504826831e-10,2927,"SPT_RS11105","19F",0.00511793943582045,372,371,FALSE,0.609816929427389,"SP_2227","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"recF","Recombinational DNA repair ATPase RecF",9,"Evolvable.Essential","SP_2227","SP_RS11370","SPT_RS11105","SPD_2054","SPD_RS10775"
"SPT_0074",37,7,0.307692307692308,3.52034497326032e-10,2334,"SPT_RS00375","19F",0.00686180907796286,372,371,FALSE,0.45333038276898,"SP_0036","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"recO","DNA repair protein RecO",14,"Evolvable.Essential","SP_0036","SP_RS00220","SPT_RS00375","SPD_0042","SPD_RS00220"
"SPT_1611",38,7,0.307692307692308,3.5203449649545e-10,1571,"SPT_RS08010","19F",0.00144952851539678,372,371,FALSE,0.400561201083218,"SP_1672","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"RecR","Recombination protein RecR",14,"Evolvable.Essential","SP_1672","SP_RS08260","SPT_RS08010","SPD_1485","SPD_RS07835"
"SPT_0888",40,5,125,2.14976609349322e-08,2412,"SPT_RS04400","19F",0.00735037139317088,372,371,FALSE,0.298746058956792,"SP_1387","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"PotC","Putative spermidine/putrescine import ABC transporter, permease component II",0,"Nonessential","SP_1387","SP_RS06800","SPT_RS04400","SPD_1219","SPD_RS06435"
"SPT_0887",41,5,125,2.14976609338675e-08,2316,"SPT_RS04395","19F",0.00357591772522229,372,371,FALSE,0.254973487864201,"SP_1388","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"PotB","Putative spermidine/putrescine import ABC transporter, permease component I",1,"Evolvable.Essential","SP_1388","SP_RS06805","SPT_RS04395","SPD_1220","SPD_RS06440"
"SPT_0889",42,5,125,2.14976609242109e-08,3775,"SPT_RS04405","19F",0.00834163077901614,372,371,FALSE,0.586368704466898,"SP_1386","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"PotD","Putative spermidine/putrescine import ABC transporter, substrate-binding protein",1,"Evolvable.Essential","SP_1386","SP_RS06795","SPT_RS04405","SPD_1218","SPD_RS06430"
"SPT_1039",43,94,320.448977293834,0.950477077218246,1198,"SPT_RS05135","19F",0.336609141396541,792,371,FALSE,1.19659075755431,"SP_1185","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,""," PTS system lactose-specific transporter subunit IIBC",0,"Nonessential","SP_1185","SP_RS05830","SPT_RS05135","SPD_1047","SPD_RS05560"
"SPT_0519",44,94,320.448977293834,0.950477077218247,1198,"SPT_RS02585","19F",0.336609141396541,792,371,FALSE,1.25795393203687,"SP_0478","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system lactose-specific transporter subunit IIBC",0,"Nonessential","SP_0478","SP_RS02360","SPT_RS02585","SPD_0428","SPD_RS02280"
"SPT_0517",45,94,320.448977293834,0.950477077218248,2062,"SPT_RS02575","19F",0.242115876464998,563,371,FALSE,2.09665082811237,"SP_0476","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","",0,"Nonessential","SP_0476","SP_RS02350","SPT_RS02575","SPD_0426","SPD_RS02270"
"SPT_1038",46,94,320.448977293834,0.950477077218247,2062,"SPT_RS05130","19F",0.242115876464998,563,371,FALSE,3.14577189525312,"SP_1186","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system lactose-specific transporter subunit IIA",0,"Nonessential","SP_1186","SP_RS05835","SPT_RS05130","SPD_1048","SPD_RS05565"
"SPT_2232",47,60,3863.44317166895,0.00701302542681212,3501,"SPT_RS11040","19F",0.000917693701374828,372,371,TRUE,0.702593035453622,"SP_2214","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"tsf","elongation factor Ts",15,"Essential","SP_2214","SP_RS11305","SPT_RS11040","SPD_2041","SPD_RS10710"
"SPT_2175",48,86,80.3241853996846,0.879498188694058,3959,"SPT_RS10770","19F",0.000330105263157897,233,232,FALSE,1.15438523895915,"SP_2162","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","PTS system, mannose-specific IIC component",0,"Nonessential","SP_2162","SP_RS11030","SPT_RS10770","SPD_1990","SPD_RS10455"
"SPT_0098",49,86,80.3241853996846,0.879498188694058,1129,"SPT_RS00500","19F",0.00261589445777414,372,371,FALSE,1.62659197295268,"SP_0061","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system transporter subunit IIB",0,"Nonessential","SP_0061","SP_RS00340","SPT_RS00500","SPD_0066","SPD_RS00350"
"SPT_2174",50,86,80.3241853996846,0.879498188694058,2081,"SPT_RS10765","19F",0.000781901748040991,232,232,FALSE,1.30977895755234,"SP_2161","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","PTS system, mannose-specific IID component",0,"Nonessential","SP_2161","SP_RS11025","SPT_RS10765","SPD_1989","SPD_RS10450"
"SPT_0099",51,86,80.3241853996846,0.879498188694057,1254,"SPT_RS00505","19F",0.000152280237937873,372,371,FALSE,2.06300336422291,"SP_0062","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ManY","PTS system transporter subunit IIC",0,"Nonessential","SP_0062","SP_RS00345","SPT_RS00505","SPD_0067","SPD_RS00355"
"SPT_0329",52,86,80.3241853996846,0.879498188694058,3598,"SPT_RS01670","19F",0.00198420519169713,372,371,FALSE,1.1209078695379,"SP_0284","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IIAB",0,"Nonessential","SP_0284","SP_RS01395","SPT_RS01670","SPD_0264","SPD_RS01415"
"SPT_0327",53,86,80.3241853996846,0.879498188694059,1470,"SPT_RS01660","19F",0.00015076923076923,372,371,FALSE,1.89948923956441,"SP_0282","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IID",0,"Nonessential","SP_0282","SP_RS01385","SPT_RS01660","SPD_0262","SPD_RS01405"
"SPT_2176",54,86,80.3241853996846,0.879498188694058,2455,"SPT_RS10775","19F",0.000607142857142867,232,232,FALSE,1.36789226425347,"SP_2163","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","PTS system, mannose-specific IIB component",0,"Nonessential","SP_2163","SP_RS11035","SPT_RS10775","SPD_1991","SPD_RS10460"
"SPT_2177",55,86,80.3241853996846,0.879498188694058,2842,"SPT_RS10780","19F",0.016475567462589,232,232,FALSE,1.11007874660992,"SP_2164","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","PTS system, mannose specific IIA component",0,"Nonessential","SP_2164","SP_RS11040","SPT_RS10780","SPD_1992","SPD_RS10465"
"SPT_0328",56,86,80.3241853996846,0.879498188694058,3268,"SPT_RS01665","19F",0.000427921092564491,372,371,FALSE,1.48470451752151,"SP_0283","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IIC",1,"Evolvable.Essential","SP_0283","SP_RS01390","SPT_RS01665","SPD_0263","SPD_RS01410"
"SPT_0100",57,86,80.3241853996846,0.879498188694058,448,"SPT_RS00510","19F",0.000309444331722146,372,371,FALSE,2.36869642317799,"SP_0063","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ManZ","PTS system transporter subunit IID",0,"Nonessential","SP_0063","SP_RS00350","SPT_RS00510","SPD_0068","SPD_RS00360"
"SPT_0101",58,86,80.3241853996846,0.879498188694058,1988,"SPT_RS00515","19F",0.00836027200624396,372,371,FALSE,1.4233149082242,"SP_0064","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ManX","PTS system transporter subunit IIA",0,"Nonessential","SP_0064","SP_RS00355","SPT_RS00515","SPD_0069","SPD_RS00365"
"SPT_0221",59,3,2,1.8949228465281e-17,2410,"SPT_RS01120","19F",0,372,371,TRUE,0.616867362432429,"SP_0185","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","Magnesium and cobalt transport protein CorA",6,"Evolvable.Essential","SP_0185","SP_RS00915","SPT_RS01120","SPD_0175","SPD_RS00950"
"SPT_1689",60,1,0,5.57888676775929e-18,2327,"SPT_RS08410","19F",0.00394404461128804,372,371,FALSE,0.311742188080424,"SP_1751","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"corA"," Magnesium and cobalt transport protein CorA",0,"Nonessential","SP_1751","SP_RS08665","SPT_RS08410","SPD_1561","SPD_RS08240"
"SPT_0608",62,40,1176.85395765208,0.201367028097298,1704,"SPT_RS03030","19F",0.250854132035305,631,370,FALSE,1.44430610619332,"SP_0578","Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"bglA-2","Beta-glucosidase/6-phospho-beta-glucosidase/beta- galactosidase",0,"Nonessential","SP_0578","SP_RS02860","SPT_RS03030","SPD_0503","SPD_RS02705"
"SPT_0876",63,8,0,4.5307017518677e-17,1517,"SPT_RS04345","19F",0.000560162786159848,372,371,FALSE,0.400286739944981,"SP_1398","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"PstA","Phosphate ABC transporter, permease component ",0,"Nonessential","SP_1398","SP_RS06855","SPT_RS04345","SPD_1230","SPD_RS06490"
"SPT_2096",64,8,0,4.47706661015219e-17,3277,"SPT_RS10380","19F",0.000179268292682925,372,371,FALSE,0.892735110840123,"SP_2086","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"pstA","",0,"Nonessential","SP_2086","SP_RS10620","SPT_RS10380","SPD_1912","SPD_RS10070"
"SPT_1556",67,7,50.3291133995482,0.00158784216263406,3426,"SPT_RS07725","19F",0.00230347107438017,135,135,FALSE,1.01912115629708,"SP_1616","Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","Hypothetical Protein",0,"Nonessential","SP_1616","SP_RS07970","SPT_RS07725","n.p.","n.p"
"SPT_1962",68,18,2059.36225383518,0.0746882618958984,3471,"SPT_RS09725","19F",0.00878001351750127,372,371,FALSE,0.536905244740607,"SP_1983","Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"rpe","Ribulose-5-phosphate 3-epimerase",6,"Evolvable.Essential","SP_1983","SP_RS09965","SPT_RS09725","SPD_1780","SPD_RS09410"
"SPT_0319",69,29,548.078342777957,8.68230505675113e-09,2926,"SPT_RS01610","19F",0.00389965579227013,372,371,TRUE,0.489675036005049,"SP_0274","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"polC","DNA polymerase III PolC",15,"Essential","SP_0274","SP_RS01335","SPT_RS01610","SPD_0254","SPD_RS01360"
"SPT_1183",70,15,0,8.37640873751509e-09,740,"SPT_RS05860","19F",0.0100952688441231,374,371,FALSE,0.304970182901314,"SP_1156","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"rnhB"," ribonuclease HII",0,"Nonessential","SP_1156","SP_RS05705","SPT_RS05860","SPD_1020","SPD_RS05435"
"SPT_0002",71,29,548.078342777957,8.68230510209519e-09,1216,"SPT_RS00040","19F",0.00104079556947007,372,371,TRUE,0.34307768156431,"SP_0002","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"dnaN","DNA polymerase III beta sliding clamp subunit",15,"Essential","SP_0002","SP_RS00010","SPT_RS00040","SPD_0002","SPD_RS00010"
"SPT_1336",72,29,548.078342777957,8.68230506986781e-09,2019,"SPT_RS06640","19F",0.00416493969227464,372,371,FALSE,0.367419726310682,"SP_0865","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"dnaX","DNA polymerase III subunits gamma and tau",15,"Essential","SP_0865","SP_RS04260","SPT_RS06640","SPD_0760","SPD_RS04035"
"SPT_1304",73,29,548.078342777957,8.68230512513106e-09,2008,"SPT_RS06480","19F",0.0141832342375771,372,371,TRUE,0.3907874815601,"SP_0895","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"dnaE","DNA polymerase III DnaE",15,"Essential","SP_0895","SP_RS04415","SPT_RS06480","SPD_0788","SPD_RS04175"
"SPT_2221",74,22,220.028566471021,8.5365843214404e-09,3365,"SPT_RS10985","19F",0.000333004942137018,372,371,TRUE,0.59517035087622,"SP_2203","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"dnaC","replicative DNA helicase",15,"Essential","SP_2203","SP_RS11250","SPT_RS10985","SPD_2030","SPD_RS10655"
"SPT_1115",75,15,0,8.37640872799958e-09,1583,"SPT_RS05515","19F",0.00907723908401937,372,371,TRUE,0.721535864760523,"SP_1072","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"dnaG","DNA primase",15,"Essential","SP_1072","SP_RS05300","SPT_RS05515","SPD_0957","SPD_RS05100"
"SPT_1163",76,19,8799.75959385206,1.21686399503354e-07,3484,"SPT_RS05755","19F",0.00499055689330676,372,371,FALSE,0.345338336748184,"SP_1117","Intracellular","GENETIC INFORMATION PROCESSING","GENETIC INFORMATION PROCESSING",NA,"Replication","DNA repair and editing",NA,2,"ligA","NAD-dependent DNA ligase (EC 6.5.1.2)",15,"Essential","SP_1117","SP_RS05530","SPT_RS05755","SPD_1001","SPD_RS05335"
"SPT_1211",77,29,548.078342777957,8.68230508671847e-09,1148,"SPT_RS06000","19F",0.0049761452069667,372,371,FALSE,0.31587979727822,"SP_0993","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","DNA polymerase III epsilon subunit",0,"Nonessential","SP_0993","SP_RS04925","SPT_RS06000","SPD_0879","SPD_RS04690"
"SPT_0070",78,30,2428.22055915327,8.61151581338845e-09,1257,"SPT_RS00355","19F",0.00480075998749887,372,371,TRUE,0.294056295931483,"SP_0032","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"polA","DNA polymerase I",15,"Essential","SP_0032","SP_RS00195","SPT_RS00355","SPD_0038","SPD_RS00200"
"SPT_0474",80,27,810.311434445585,0.0435700299595234,2650,"SPT_RS02375","19F",0.008863099492401,372,371,TRUE,0.556868128337202,"SP_0437","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"gatA","aspartyl/glutamyl-tRNA amidotransferase subunit A",15,"Essential","SP_0437","SP_RS02155","SPT_RS02375","SPD_0397","SPD_RS02115"
"SPT_0475",81,27,810.311434445585,0.0435700299595234,116,"SPT_RS02380","19F",0.021648858458382,372,371,TRUE,0.550393969454974,"SP_0438","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"gatC","aspartyl/glutamyl-tRNA amidotransferase subunit C",15,"Essential","SP_0438","SP_RS02160","SPT_RS02380","SPD_0398","SPD_RS02120"
"SPT_2116",82,4,0,0.000312878433404235,3046,"SPT_RS10490","19F",0.00214703818033292,372,371,FALSE,2.44469535061976,"SP_2108","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"malX","Maltodextrin ABC transporter, substrate-binding protein",0,"Nonessential","SP_2108","SP_RS10745","SPT_RS10490","SPD_1934","SPD_RS10185"
"SPT_2118",83,4,0,0.000312878433404234,2580,"SPT_RS10500","19F",0,372,371,FALSE,1.40127158967604,"SP_2110","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"malD","Maltodextrin ABC transporter",0,"Nonessential","SP_2110","SP_RS10755","SPT_RS10500","SPD_1936","SPD_RS10195"
"SPT_2117",84,4,0,0.000312878433404232,3679,"SPT_RS10495","19F",0.000711873589164785,371,370,FALSE,1.52741451260235,"SP_2109","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"malC","Maltodextrin ABC transporter",0,"Nonessential","SP_2109","SP_RS10750","SPT_RS10495","SPD_1935","SPD_RS10190"
"SPT_1264",85,29,548.078342777957,8.68230506871522e-09,483,"SPT_RS06270","19F",0.00584868045656802,372,371,FALSE,0.487892139734052,"SP_0936","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"holB","DNA polymerase III delta prime subunit",15,"Essential","SP_0936","SP_RS04625","SPT_RS06270","SPD_0826","SPD_RS04395"
"SPT_0441",86,15,0,8.37640873766779e-09,3789,"SPT_RS02225","19F",0.0175427331647179,372,371,FALSE,0.518102724033865,"SP_0403","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","ribonuclease HIII",9,"Evolvable.Essential","SP_0403","SP_RS02000","SPT_RS02225","SPD_0368","SPD_RS01975"
"SPT_2155",87,4,251,0.00715762239845866,2283,"SPT_RS10670","19F",0.0212426766218935,372,371,FALSE,2.95126146560187,"SP_2142",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","ROK family protein",0,"Nonessential","SP_2142","SP_RS10930","SPT_RS10670","SPD_1970","SPD_RS10360"
"SPT_1614",88,4,251,0.00715762239845866,3482,"SPT_RS08025","19F",0.00162028122374439,372,371,FALSE,1.41421379132722,"SP_1675","Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","Hypothetical Protein",0,"Nonessential","SP_1675","SP_RS08275","SPT_RS08025","SPD_1488","SPD_RS07850"
