"label","id","Degree","Betweenness","Pagerank","Cluster","Strain","Diameter","Count","N","Essential","Var","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description","Essential.Count","Essential.Call","TIGR4.new","TAIWAN.19F.old","TAIWAN.19F.new","D39.old","D39.new"
"SP_1584",25,44,18827.8,0.146771941788017,2964,"TIGR4",0.00103640517897943,372,371,FALSE,0.57930593373563,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"CodY","GTP-sensing transcriptional pleiotropic repressor codY",15,"Essential","SP_RS07810","SPT_1523","SPT_RS07575","SPD_1412","SPD_RS07435"
"SP_0098",26,1,0,0,2685,"TIGR4",0.01193314978141,372,371,FALSE,1.36503005072352,"Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS00495","SPT_0132","SPT_RS00665","SPD_0094","SPD_RS00495"
"SP_0100",27,4,1,0,3081,"TIGR4",0.00537304646641009,372,371,FALSE,1.23361238538824,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","",0,"Nonessential","SP_RS00505","SPT_0134","SPT_RS00675","SPD_0096","SPD_RS00505"
"SP_0099",28,1,0,0,33,"TIGR4",0.0280006460028748,381,371,FALSE,1.68717347613406,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS00500","SPT_0133","SPT_RS00670","SPD_0095","SPD_RS00500"
"SP_0112",29,3,0.0833333333333333,0.00300495228320077,1147,"TIGR4",0.255883446198427,629,371,FALSE,7.04600157487408,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","amino acid ABC transporter substrate-binding protein",0,"Nonessential","SP_RS00570","SPT_0146","SPT_RS00740","SPD_0109","SPD_RS00570"
"SP_1203",30,12,780.4,0.0134989086913082,2779,"TIGR4",0.0033645390070922,372,371,FALSE,0.575336833088122,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"ArgR","Arginine transcriptional repressor",0,"Nonessential","SP_RS05910","SPT_1023","SPT_RS05050","SPD_1063","SPD_RS05640"
"SP_2077",31,15,780.483333333333,0.0154118488349342,3111,"TIGR4",0.00337908779740769,372,371,FALSE,1.86079972789303,"Intracellular","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Transcription","Amino acid metabolism",NA,2,"argR","Arginine repressor",0,"Nonessential","SP_RS10580","SPT_2088","SPT_RS10340","SPD_1904","SPD_RS10030"
"SP_0893",32,12,780.4,0.0134989086913082,3454,"TIGR4",0.00355257186011744,374,371,FALSE,0.518544234423065,"Intracellular","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Transcription","Amino acid metabolism",NA,2,"argR","Arginine pathway regulatory protein ArgR",2,"Evolvable.Essential","SP_RS04405","SPT_1306","SPT_RS06490","SPD_0786","SPD_RS04165"
"SP_0141",33,1,0,0.0103995791743156,3285,"TIGR4",0.0582462831650565,404,369,FALSE,1.3239090653506,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","transcriptional regulator, MutR family",0,"Nonessential","SP_RS00725","SPT_0188","SPT_RS00960","SPD_0144","SPD_RS00800"
"SP_0148",34,1,0,0.000165831491749744,806,"TIGR4",0.241980874966132,806,371,FALSE,1.2703636867765,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter, substrate-binding protein",0,"Nonessential","SP_RS00765","SPT_0195","SPT_RS00995","SPD_0150","SPD_RS00830"
"SP_0927",35,11,8930,0.00234042259265893,1291,"TIGR4",0.0039627640600627,372,371,FALSE,0.309374764481784,"Intracellular","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Transcription","Amino acid metabolism",NA,2,"cmbR","Cysteine and methionine metabolism regulator CmbR, LysR family",4,"Evolvable.Essential","SP_RS04585","SPT_1272","SPT_RS06310","SPD_0818","SPD_RS04355"
"SP_0149",36,1,0,2.70115135137576e-06,3052,"TIGR4",0.00474861163787077,372,371,FALSE,1.54513235793422,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","",0,"Nonessential","SP_RS00770","SPT_0196","SPT_RS01000","SPD_0151","SPD_RS00835"
"SP_0676",37,15,6885.5,3.81220453500194e-05,2877,"TIGR4",0.000775149397983218,372,371,FALSE,0.359947145355302,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","Methionine biosynthesis and transport regulator MtaR, LysR family",0,"Nonessential","SP_RS03320","SPT_0700","SPT_RS03485","SPD_0588","SPD_RS03150"
"SP_0150",38,1,0,2.70115135137497e-06,987,"TIGR4",0.0066457170347034,372,371,FALSE,1.20255560192725,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","",0,"Nonessential","SP_RS00775","SPT_0197","SPT_RS01005","SPD_0152","SPD_RS00840"
"SP_0151",39,1,0,2.70115135137611e-06,488,"TIGR4",0.00807940566576832,372,371,FALSE,1.47820695256778,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter ATP-binding protein",0,"Nonessential","SP_RS00780","SPT_0198","SPT_RS01010","SPD_0153","SPD_RS00845"
"SP_0152",40,1,0,2.70115135137555e-06,486,"TIGR4",0.00426704050345759,372,371,FALSE,1.56579796413231,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter permease",0,"Nonessential","SP_RS00785","SPT_0199","SPT_RS01015","SPD_0154","SPD_RS00850"
"SP_0159",41,1,0,0.0103995791743156,1191,"TIGR4",0.00202548643319796,373,371,FALSE,1.79641141521133,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","",0,"Nonessential","SP_RS00820","SPT_0207","SPT_RS01055","SPD_0161","SPD_RS00885"
"SP_0202",42,1,0,0,241,"TIGR4",0.00257229629743443,372,371,FALSE,3.08114305379092,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"nrdD","anaerobic ribonucleoside triphosphate reductase",1,"Evolvable.Essential","SP_RS00980","SPT_0249","SPT_RS01260","SPD_0187","SPD_RS01015"
"SP_1713",43,7,21,0,2916,"TIGR4",0,372,371,FALSE,0.58007264331998,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"nrdR","transcriptional regulator NrdR",4,"Evolvable.Essential","SP_RS08470","SPT_1651","SPT_RS08210","SPD_1523","SPD_RS08040"
"SP_0203",44,1,0,0,3415,"TIGR4",0.0124429375128771,371,370,FALSE,1.92335281457556,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS00985","SPT_0251","SPT_RS01265","SPD_0188","SPD_RS01020"
"SP_0204",45,1,0,0,3119,"TIGR4",0.0663863976739714,372,371,FALSE,1.73289611567166,"Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","acetyltransferase",0,"Nonessential","SP_RS00990","SPT_0252","SPT_RS01270","SPD_0189","SPD_RS01025"
"SP_0205",46,1,0,0,3253,"TIGR4",0.0086641213830824,372,371,FALSE,2.19077661480666,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"","Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-)",0,"Nonessential","SP_RS00995","SPT_0253","SPT_RS01275","SPD_0190","SPD_RS01030"
"SP_0238",47,1,0,0.0708553627323106,2576,"TIGR4",0.000261716937354984,372,371,FALSE,0.740244406436731,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS01150","SPT_0284","SPT_RS01430","SPD_0220","SPD_RS01185"
"SP_0239",48,1,0,0.0708553627323106,1825,"TIGR4",0.00475285660759845,370,369,FALSE,1.12407383763309,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS01155","SPT_0285","SPT_RS01435","n.p.","n.p"
"SP_0245",49,1,0,0,1173,"TIGR4",0.000478784357397642,371,371,FALSE,1.1893479626667,"Intracellular","METABOLISM","METABOLISM",NA,"Carbohydrate metabolism","Energy metabolism",NA,2,"","Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)",0,"Nonessential","SP_RS01190","SPT_0293","SPT_RS01475","SPD_0229","SPD_RS01230"
"SP_0246",50,7,10,0,561,"TIGR4",0.00579869534508482,371,371,FALSE,1.20708710418741,"Intracellular","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Transcription","Carbohydrate metabolism",NA,2,"DeoR","DeoR family transcriptional regulator",0,"Nonessential","SP_RS01195","SPT_0294","SPT_RS01480","SPD_0230","SPD_RS01235"
"SP_0247",51,1,0,0,1384,"TIGR4",0.00474740297714937,371,371,FALSE,0.584058406417877,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","transcriptional regulator",0,"Nonessential","SP_RS01200","SPT_0295","SPT_RS01485","SPD_0231","SPD_RS01240"
"SP_0251",52,1,0,0,3572,"TIGR4",0.00239044575585984,372,370,FALSE,0.72464971723188,"Intracellular","METABOLISM","METABOLISM",NA,"Carbohydrate metabolism","Energy metabolism",NA,2,"","formate acetyltransferase",0,"Nonessential","SP_RS01220","SPT_0299","SPT_RS01505","SPD_0235","SPD_RS01260"
"SP_0252",53,1,0,0,1352,"TIGR4",0.00826735101151158,371,371,FALSE,0.518151023869025,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","fructose-6-phosphate aldolase",0,"Nonessential","SP_RS01225","SPT_0300","SPT_RS01510","SPD_0236","SPD_RS01265"
"SP_0253",54,1,0,0,2389,"TIGR4",0.00302661225378556,371,371,FALSE,0.726960039624607,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"gldA","glycerol dehydrogenase",0,"Nonessential","SP_RS01230","SPT_0301","SPT_RS01515","SPD_0237","SPD_RS01270"
"SP_0266",55,1,0,0,2,"TIGR4",0.00857269743783238,372,371,TRUE,1.07221009712659,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","glucosamine--fructose-6-phosphate aminotransferase",15,"Essential","SP_RS01305","SPT_0313","SPT_RS01580","SPD_0248","SPD_RS01330"
"SP_1446",56,3,3,0,321,"TIGR4",0.00591162912755083,372,371,FALSE,0.39434361074602,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","Transcriptional regulator, GntR family",0,"Nonessential","SP_RS07105","SPT_0828","SPT_RS04120","SPD_1275","SPD_RS06720"
"SP_0268",57,2,121.285714285713,0.0734632972622932,3935,"TIGR4",0.00563655457050995,372,371,FALSE,1.86615190663257,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","alkaline amylopullulanase",0,"Nonessential","SP_RS01315","SPT_0315","SPT_RS01590","SPD_0250","SPD_RS01340"
"SP_2112",58,9,591.5,0.0368064523194275,3891,"TIGR4",0.000554436450839325,372,371,FALSE,0.415265701259946,"Intracellular","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Transcription","Carbohydrate metabolism",NA,2,"malR","Maltose operon transcriptional repressor MalR",0,"Nonessential","SP_RS10765","SPT_2120","SPT_RS10510","SPD_1938","SPD_RS10205"
"SP_0282",59,1,0,0.0708553627323106,1470,"TIGR4",0.00015076923076923,372,371,FALSE,1.89948923956441,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IID",0,"Nonessential","SP_RS01385","SPT_0327","SPT_RS01660","SPD_0262","SPD_RS01405"
"SP_0283",60,1,0,0.0708553627323106,3268,"TIGR4",0.000427921092564491,372,371,FALSE,1.48470451752151,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IIC",1,"Evolvable.Essential","SP_RS01390","SPT_0328","SPT_RS01665","SPD_0263","SPD_RS01410"
"SP_0284",61,1,0,0.0708553627323106,3598,"TIGR4",0.00198420519169713,372,371,FALSE,1.1209078695379,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IIAB",0,"Nonessential","SP_RS01395","SPT_0329","SPT_RS01670","SPD_0264","SPD_RS01415"
"SP_0285",62,2,725.55,0.0725337156221735,3630,"TIGR4",0.00453630211983442,372,371,FALSE,1.68133113316132,"Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","alcohol dehydrogenase",0,"Nonessential","SP_RS01400","SPT_0330","SPT_RS01675","SPD_0265","SPD_RS01420"
"SP_1090",63,12,3945,0.0236870269961584,3663,"TIGR4",0.0001803127874885,372,371,FALSE,0.996532423173782,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","NADH/NAD ratio-sensing transcriptional regulator Rex",1,"Evolvable.Essential","SP_RS05400","SPT_1136","SPT_RS05625","SPD_0976","SPD_RS05205"
"SP_0303",64,3,0,0.0893004378401692,1704,"TIGR4",0.250854132035305,631,370,FALSE,10.0469999859842,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"celA","6-phospho-beta-glucosidase",0,"Nonessential","SP_RS01480","SPT_0354","SPT_RS01795","SPD_0277","SPD_RS01485"
"SP_0307",65,10,3.33333333333333,0.130160049970695,1200,"TIGR4",0.0193940611211424,284,257,FALSE,4.92404710473944,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system transporter subunit IIA",0,"Nonessential","n.p","n.p.","n.p","n.p.","n.p"
"SP_0306",66,10,3.33333333333333,0.130160049970695,1200,"TIGR4",0.0193940611211424,284,257,FALSE,8.62422228258752,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","transcriptional regulator",0,"Nonessential","n.p","SPT_0357","SPT_RS01810","SPD_0280","SPD_RS01500"
"SP_0305",67,3,0,0.0893004378401693,3537,"TIGR4",0.00347591855237807,259,258,FALSE,8.53678699902274,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"celB","PTS system cellobiose transporter subunit IIB",0,"Nonessential","SP_RS01490","SPT_0356","SPT_RS01805","SPD_0279","SPD_RS01495"
"SP_0308",68,3,0,0.0893004378401693,1034,"TIGR4",0.000305653021442495,259,258,FALSE,6.29536536433327,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"celC","cellobiose phosphotransferase system IIA component",0,"Nonessential","SP_RS01500","SPT_0358","SPT_RS01815","n.p.","n.p"
"SP_0309",69,3,0,0.0893004378401692,2903,"TIGR4",0.0173138887420258,259,258,FALSE,4.52691213372061,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS01505","SPT_0359","SPT_RS01820","SPD_0282","SPD_RS01510"
"SP_0310",70,3,0,0.0893004378401693,2512,"TIGR4",0.0034203320645792,259,258,FALSE,4.46920309494621,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"celD","cellobiose phosphotransferase system IIC component",0,"Nonessential","SP_RS01510","SPT_0360","SPT_RS01825","SPD_0283","SPD_RS01515"
"SP_0314",71,2,243.25,0.0741688618380282,2747,"TIGR4",0.125708432074476,435,368,FALSE,0.619643825682246,"Capsule","METABOLISM",NA,NA,"Capsule metabolism",NA,NA,1,"","hyaluronidase",0,"Nonessential","SP_RS01530","SPT_0364","SPT_RS01845","SPD_0287","SPD_RS01535"
"SP_0330",72,16,1745,0.0467642670638193,3387,"TIGR4",0.000274766355140186,370,370,FALSE,0.417437669771666,"Intracellular","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Transcription","Carbohydrate metabolism",NA,2,"RegR","Sugar binding transcriptional regulator RegR",0,"Nonessential","SP_RS01605","SPT_0377","SPT_RS01910","SPD_0301","SPD_RS01600"
"SP_0317",73,1,0,0.00331349910571757,2116,"TIGR4",0.00601696678944028,370,370,FALSE,1.87047407854623,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase",0,"Nonessential","SP_RS01540","SPT_0366","SPT_RS01855","SPD_0289","SPD_RS01545"
"SP_0318",74,1,0,0.00331349910571757,1828,"TIGR4",0.00593522066701884,370,370,FALSE,2.11716412036828,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","Carbohydrate kinase",0,"Nonessential","SP_RS01545","SPT_0367","SPT_RS01860","SPD_0290","SPD_RS01550"
"SP_0319",75,1,0,0.00331349910571757,3749,"TIGR4",0.00600364864841701,370,370,FALSE,1.81237761497302,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS01550","SPT_0368","SPT_RS01865","SPD_0291","SPD_RS01555"
"SP_0320",76,1,0,0.00331349910571757,628,"TIGR4",0.00311469577771696,370,370,FALSE,1.90626151850614,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","gluconate 5-dehydrogenase",0,"Nonessential","SP_RS01555","SPT_0369","SPT_RS01870","SPD_0292","SPD_RS01560"
"SP_0321",77,2,243.25,0.0741688618380282,2617,"TIGR4",0.00939983531274511,370,370,FALSE,1.52753456117816,"Intracellular","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system transporter subunit IIA",0,"Nonessential","SP_RS01560","SPT_0370","SPT_RS01875","SPD_0293","SPD_RS01565"
"SP_0322",78,2,243.25,0.0741688618380283,1509,"TIGR4",0.00667396208595961,371,370,FALSE,1.51794544305007,"Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","glucuronyl hydrolase",0,"Nonessential","SP_RS01565","SPT_0371","SPT_RS01880","SPD_0294","SPD_RS01570"
"SP_0323",79,2,243.25,0.0741688618380282,635,"TIGR4",0.0118684183215787,370,370,FALSE,0.895460280434035,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system transporter subunit IIB",0,"Nonessential","SP_RS01570","SPT_0372","SPT_RS01885","SPD_0295","SPD_RS01575"
