"","Gene","X","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC180min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC180min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC180min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX180min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX180min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX180min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"14","SP_0151",16,3998.77919,2.888765828,0.1144934,25.23085033,1.84e-140,2.54e-138,852.2076992,910.8417887,1065.797528,7337.573661,7225.150744,6601.10372,"SPD_0153","SP_RS00780","SPT_RS01010","SPT_0198","SPD_RS00845","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter ATP-binding protein"
"15","SP_0035",17,4243.43328,2.487700642,0.099011235,25.12543795,2.62e-139,3.42e-137,1242.047391,1238.91185,1355.1922,7372.236764,7378.150722,6874.060752,"SPD_0041","SP_RS00215","SPT_RS00370","SPT_0073","SPD_RS00215","aromatic amino acid aminotransferase","AMINO ACID METABOLSIM","Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"araT","aromatic amino acid aminotransferase"
"16","SP_0078",18,11895.21068,2.336719626,0.09363738,24.95498725,1.89e-137,2.32e-135,3717.076135,4057.331923,3967.517249,19097.16888,19793.00608,20739.16384,"SPD_0076","SP_RS00405","SPT_RS00560","SPT_0111","SPD_RS00405","potassium uptake protein, Trk family","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"TrkG","Trk family potassium uptake protein"
"17","SP_2228",19,18951.09321,2.204715061,0.088976624,24.77858739,1.53e-135,1.78e-133,6686.851597,6856.067792,6660.860847,30976.15923,30078.15638,32448.46343,"SPD_2055","SP_RS11375","SPT_RS11110","SPT_2246","SPD_RS10780","inosine-5-monophosphate dehydrogenase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"guaB","inosine 5'-monophosphate dehydrogenase"
"18","SP_2084",20,627.6527058,4.024991628,0.162711936,24.7369168,4.29e-135,4.75e-133,66.05257243,59.64910207,83.70920274,1104.267422,1299.133741,1153.104194,"SPD_1910","SP_RS10610","SPT_RS10370","SPT_2094","SPD_RS10060","phosphate ABC transporter, phosphate-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"pstS",""
"19","SP_0082",21,1545.288783,3.041435305,0.125570231,24.22099006,1.34e-129,1.41e-127,358.7561287,324.4911153,315.4043175,2438.521781,3038.142419,2796.416935,"SPD_0080","SP_RS00425","SPT_RS00580","SPT_0116","SPD_RS00425","cell wall surface anchor family protein","VARIOUS","Cell Wall","CELLULAR PROCESSES",NA,NA,"Structural proteins",NA,NA,1,"","Cell wall surface anchor family protein"
"20","SP_0098",22,8200.408766,2.465934408,0.102001947,24.175366,4.04e-129,4.07e-127,2351.989638,2538.069293,2613.221933,13205.5418,15096.45318,13397.17675,"SPD_0094","SP_RS00495","SPT_RS00665","SPT_0132","SPD_RS00495","hypothetical protein","UNKNOWN","Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"21","SP_2235",24,775.7462395,3.142049871,0.131257295,23.93809712,1.23e-126,1.13e-124,159.3032629,164.0350307,150.0786421,1438.243668,1467.160503,1275.656331,"SPD_2063","SP_RS11425","SPT_RS11155","SPT_2255","SPD_RS10830","response regulator ComE","REGULATOR","Intracellular","CELLULAR PROCESSES","ENVIRONMENTAL INFORMATION PROCESSING","GENETIC INFORMATION PROCESSING","Cellular community","Signal transduction","Transcription",3,"comE","Response regulator of the competence regulon ComE"
"22","SP_0409",25,2993.299026,-3.663378328,0.154778515,-23.66851966,7.61e-124,6.74e-122,4376.306711,5498.454229,6801.073761,440.1663864,437.1427941,406.6502714,"SPD_0373","SP_RS02025","SPT_RS02250","SPT_0446","SPD_RS02000","conserved hypothetical protein","UNKNOWN","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"",""
"23","SP_2088",26,483.5540894,4.298705471,0.182876886,23.50600757,3.54e-122,3.02e-120,54.39623612,45.33331758,40.65875562,786.2472077,1077.830202,896.8588177,"SPD_1914","SP_RS10630","SPT_RS10390","SPT_2098","SPD_RS10080","phosphate transport system regulatory protein PhoU","REGULATOR","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"phoU","Phosphate transport system regulatory protein PhoU"
"24","SP_0037",27,4188.40793,2.450310904,0.104493835,23.44933465,1.34e-121,1.1e-119,1209.668679,1314.66621,1344.429588,7670.999699,6878.168652,6712.514753,"SPD_0043","SP_RS00225","SPT_RS00380","SPT_0075","SPD_RS00225","fatty acid/phospholipid synthesis protein PlsX","LIPOPROTEIN","Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"plsX","glycerol-3-phosphate acyltransferase PlsX"
"25","SP_0869",29,3412.566759,-2.692193197,0.115807032,-23.24723412,1.52e-119,1.16e-117,5328.240843,6013.22598,6430.361578,933.7029471,939.8570074,830.0121977,"SPD_0764","SP_RS04280","SPT_RS06620","SPT_1332","SPD_RS04055","aminotransferase, class-V","AMINO ACID METABOLSIM",NA,"METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"sufS","cysteine desulfurases"
"26","SP_0118",31,9428.218525,2.617167228,0.115292302,22.70027726,4.45e-114,3.18e-112,2324.79152,2654.981533,2894.245685,15878.45218,17865.47957,14951.36066,"SPD_0127","SP_RS00600","SPT_RS00840","SPT_0165","SPD_RS00690","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"mnmA","tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)"
"27","SP_0004",32,8083.76826,2.424200343,0.107128987,22.62879924,2.26e-113,1.56e-111,2706.860321,2393.718466,2494.534242,14696.60543,13961.24799,12249.64311,"SPD_0004","SP_RS00020","SPT_RS00200","SPT_0038","SPD_RS00020","GTP-dependent nucleic acid-binding protein","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"ychF","GTP-dependent nucleic acid-binding protein EngD"
"28","SP_2220",33,4439.588392,2.345014589,0.104391555,22.46364269,9.41e-112,6.32e-110,1543.816987,1501.367899,1328.285671,7739.225489,7466.945352,7057.888957,"SPD_2047","SP_RS11335","SPT_RS11070","SPT_2238","SPD_RS10740","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"cbiO2","cobalt transporter ATP-binding subunit"
"29","SP_2218",34,4106.848972,2.204710631,0.099005734,22.2685146,7.46e-110,4.86e-108,1425.958475,1407.718809,1544.434791,6982.139304,6841.284728,6439.557722,"SPD_2045","SP_RS11325","SPT_RS11060","SPT_2236","SPD_RS10730","rod shape-determining protein MreC","CELL DIVISION","Membrane","CELLULAR PROCESSES",NA,NA,"Cell division",NA,NA,1,"mreC","rod shpae-determining protein"
"30","SP_1154",35,6072.123253,-2.600037593,0.117277918,-22.16988194,6.71e-109,4.25e-107,11919.25145,10165.39998,9218.774913,1694.640588,1696.66047,1738.012119,"SPD_1018","SP_RS05695","SPT_RS05850","SPT_1181","SPD_RS05425","immunoglobulin A1 protease","VARIOUS","Extracellular","CELLULAR PROCESSES",NA,NA,"Cellular community",NA,NA,1,"","immunoglobulin A1 protease"
"31","SP_0766",36,4105.33419,-2.338286727,0.105837023,-22.09327757,3.67e-108,2.26e-106,6714.049715,6467.155647,7416.336402,1393.676821,1342.848021,1297.938537,"SPD_0667","SP_RS03740","SPT_RS03875","SPT_0779","SPD_RS03550","superoxide dismutase, manganese-dependent","VARIOUS","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"sodA","superoxide dismutase, manganese-dependent"
"32","SP_0022",37,1387.449255,2.531538001,0.114735099,22.06419856,6.98e-108,4.18e-106,423.5135526,419.3331876,384.4644097,2337.83372,2531.329992,2228.220665,"SPD_0028","SP_RS00150","SPT_RS00315","SPT_0062","SPD_RS00155","conserved hypothetical protein","UNKNOWN","Intracellular","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"33","SP_2085",38,474.9980752,4.029337099,0.183385413,21.97196076,5.34e-107,3.11e-105,47.92049372,62.63155718,46.93694582,822.0107266,778.6606021,1091.828126,"SPD_1911","SP_RS10615","SPT_RS10375","SPT_2095","SPD_RS10065","phosphate ABC transporter, permease protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"pstC",""
"34","SP_0043",39,761.0855787,3.251937269,0.148810716,21.85284332,7.3e-106,4.15e-104,170.9595992,147.3332821,119.5845753,1356.812886,1479.455144,1292.367986,"SPD_0050","SP_RS00260","SPT_RS00415","SPT_0081","SPD_RS00270","competence factor transport protein ComB","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","CELLULAR PROCESSES",NA,"Membrane transport","Cellular community",NA,2,"comB","Competence-stimulating peptide ABC transporter permease protein ComB"
"35","SP_2230",40,10364.35617,2.219391176,0.102109456,21.73541289,9.49e-105,5.26e-103,3622.530296,3469.191777,3853.015018,15675.42544,18291.69379,17274.28071,"SPD_2057","SP_RS11385","SPT_RS11120","SPT_2248","SPD_RS10790","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter"
"36","SP_0033",42,4115.007199,2.182207477,0.101392741,21.52232457,9.62e-103,5.07e-101,1442.795406,1513.29772,1485.539387,6425.328825,7316.677517,6506.404342,"SPD_0039","SP_RS00200","SPT_RS00360","SPT_0071","SPD_RS00205","conserved hypothetical protein","UNKNOWN","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"",""
"37","SP_0032",43,18153.84657,2.084390415,0.097048899,21.47773379,2.51e-102,1.3e-100,6938.110402,6795.822199,6976.863087,26899.66829,31276.20085,30036.41457,"SPD_0038","SP_RS00195","SPT_RS00355","SPT_0070","SPD_RS00200","DNA polymerase I","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"polA","DNA polymerase I"
"38","SP_2210",45,3294.860126,2.719998369,0.127565154,21.32242446,7.03e-101,3.46e-99,712.3316635,849.9997046,1009.293816,5581.859988,5816.731305,5798.944281,"SPD_2037","SP_RS11285","SPT_RS11020","SPT_2228","SPD_RS10690","cysteine synthase","AMINO ACID METABOLSIM","Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"",""
"39","SP_2097",47,4706.700366,2.235057439,0.105836125,21.11809586,5.42e-99,2.56e-97,1564.539363,1592.631025,1755.202605,7404.148827,7434.159643,8489.520734,"SPD_1923","SP_RS10680","SPT_RS10430","SPT_2106","SPD_RS10120","putative 2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","AMINO ACID METABOLSIM","Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
"40","SP_2226",48,875.8347544,3.192775072,0.151437747,21.08308613,1.14e-98,5.25e-97,181.3207871,195.0525638,139.9139532,1462.452819,1749.937248,1526.331156,"SPD_2053","SP_RS11365","SPT_RS11100","SPT_2244","SPD_RS10770","conserved hypothetical protein","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"ybcJ","Ribosome-associated protein YbcJ, S4-like RNA binding protein"
"41","SP_0152",49,1934.493464,2.364051772,0.112704582,20.9756492,1.09e-97,4.95e-96,667.0014667,633.473464,577.8924604,3014.039331,3260.81203,3453.742031,"SPD_0154","SP_RS00785","SPT_RS01015","SPT_0199","SPD_RS00850","putative ABC transporter, permease protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter permease"
"42","SP_2219",50,6517.308527,2.273974968,0.10880753,20.89905873,5.46e-97,2.42e-95,2302.773996,2403.262323,1965.073534,10814.88811,10315.20387,11302.64932,"SPD_2046","SP_RS11330","SPT_RS11065","SPT_2237","SPD_RS10735","conserved hypothetical protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"ecfT","Energy-coupling factor transporter transmembrane protein EcfT"
"43","SP_0097",51,5220.570783,2.224612199,0.106711749,20.84692849,1.63e-96,7.06e-95,1716.071735,1876.560751,1901.394748,8080.904646,9487.364704,8261.128116,"SPD_0093","SP_RS00490","SPT_RS00660","SPT_0131","SPD_RS00490","conserved domain protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"44","SP_0737",52,1915.376154,2.433242908,0.117282864,20.74678958,1.31e-95,5.58e-94,611.3100821,586.3506734,584.1706506,2839.6234,3461.624501,3409.177618,"SPD_0642","SP_RS03610","SPT_RS03750","SPT_0753","SPD_RS03425","sodium-dependent transporter","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","sodium dependent transporter"
"45","SP_2203",53,15595.94549,2.405172432,0.115991103,20.73583543,1.65e-95,6.88e-94,5409.835197,5209.752575,4169.316219,27636.94699,25369.30884,25780.51309,"SPD_2030","SP_RS11250","SPT_RS10985","SPT_2221","SPD_RS10655","replicative DNA helicase","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"dnaC","replicative DNA helicase"
"46","SP_2205",55,15824.11118,2.518000608,0.122256089,20.59611613,2.97e-94,1.2e-92,5196.135698,4893.612334,3941.806565,29589.08491,25148.0053,26176.02226,"SPD_2032","SP_RS11260","SPT_RS10995","SPT_2223","SPD_RS10665","DHH subfamily 1 protein","REGULATOR",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","c-di-AMP phosphodiesterase"
"47","SP_0018",56,290.5151072,4.301391596,0.209011341,20.57970435,4.17e-94,1.65e-92,37.55930589,29.82455104,20.03041637,543.0552792,577.848131,534.7729596,"SPD_0023","SP_RS00130","SPT_RS00295","SPT_0058","SPD_RS00135","hypothetical protein","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING","CELLULAR PROCESSES",NA,"Transcription","Cellular community",NA,2,"comW",""
"48","SP_2021",57,931.6701063,3.900066848,0.18998845,20.52791546,1.21e-93,4.71e-92,168.3693023,95.43856332,90.58531583,1949.386884,1810.044382,1476.196191,"SPD_1830","SP_RS10225","SPT_RS09990","SPT_2017","SPD_RS09670","glycosyl hydrolase, family 1","CARBOHYDRATE METABOLISM","Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"bglB","beta-glucosidase"
"49","SP_0042",58,911.8708882,2.770209422,0.135981437,20.37196757,2.97e-92,1.13e-90,246.078211,255.8946479,195.5207807,1571.944207,1569.615845,1632.171637,"SPD_0049","SP_RS00255","SPT_RS00410","SPT_0080","SPD_RS00265","competence factor transporting permease/ATP-binding protein ComA","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","CELLULAR PROCESSES",NA,"Membrane transport","Cellular community",NA,2,"comA","Competence-stimulating peptide ABC transporter ATP-binding protein ComA"
"50","SP_2065",59,2313.364499,2.129390385,0.104996925,20.28050234,1.91e-91,7.18e-90,850.9125507,874.4558364,838.2878732,3599.460625,3628.285191,4088.78492,"SPD_1876","SP_RS10440","SPT_RS10200","SPT_2060","SPD_RS09890","MATE efflux family protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","CELLULAR PROCESSES",NA,"Membrane transport","Antibiotic response/sensing",NA,2,"","Multi antimicrobial extrusion (MATE) family transporter"
"51","SP_1152",61,1938.346983,-2.409899674,0.119878935,-20.10277847,6.98e-90,2.53e-88,2933.511305,3343.332171,3517.879245,591.4735817,631.124909,612.7606829,"SPD_1016","SP_RS05685","SPT_RS05840","SPT_1179","SPD_RS05415","exonuclease RexA","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING","GENETIC INFORMATION PROCESSING","CELLULAR PROCESSES","Replication","DNA repair and editing","Cellular community",3,"rexA","exonuclease RexA"
"52","SP_0079",62,8245.558232,2.078185756,0.103392505,20.09996521,7.38e-90,2.64e-88,3403.650203,2838.700768,3202.474928,13874.59471,12951.72135,13202.20744,"SPD_0077","SP_RS00410","SPT_RS00565","SPT_0112","SPD_RS00410","potassium uptake protein, Trk family","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"TrkA","Trk family potassium uptake protein"
"53","SP_2227",63,5035.515379,2.980120424,0.148305908,20.0944147,8.26e-90,2.9e-88,1321.051449,1219.227646,828.1231843,8639.365749,9270.159378,8935.164867,"SPD_2054","SP_RS11370","SPT_RS11105","SPT_2245","SPD_RS10775","DNA replication and repair protein RecF","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"recF","Recombinational DNA repair ATPase RecF"
"54","SP_2217",64,3635.922496,2.23350701,0.111383966,20.05232064,1.93e-89,6.67e-88,1340.478676,1323.017084,1142.630617,5595.064979,5924.650932,6489.692687,"SPD_2044","SP_RS11320","SPT_RS11055","SPT_2235","SPD_RS10725","putative rod shpae-determining protein MreD","CELL DIVISION","Membrane","CELLULAR PROCESSES",NA,NA,"Cell division",NA,NA,1,"mreD","rod shpae-determining protein"
"55","SP_1175",66,1330.642154,-2.48675452,0.125049363,-19.8861831,5.36e-88,1.8e-86,2414.156765,2303.648322,2057.452619,400.0012036,385.2320873,423.3619264,"SPD_1038","SP_RS05790","SPT_RS05180","SPT_1049","SPD_RS05520","conserved domain protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"56","SP_2215",67,47520.51078,2.045169767,0.103010476,19.85399786,1.02e-87,3.36e-86,18076.38732,18015.8183,19324.86738,76243.42062,84170.47894,69292.09213,"SPD_2042","SP_RS11310","SPT_RS11045","SPT_2233","SPD_RS10715","ribosomal protein S2","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"rpsB","30S ribosomal protein S2"
"57","SP_2195",68,1303.603424,2.53924334,0.128042165,19.83130594,1.6e-87,5.21e-86,414.4475133,337.6139177,396.7218287,2401.657846,2293.633598,1977.54584,"SPD_2023","SP_RS11215","SPT_RS10950","SPT_2214","SPD_RS10620","transcriptional regulator CtsR","REGULATOR","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"ctsR","Transcriptional regulator CtsR"
"58","SP_2098",69,2224.926791,2.2176052,0.111891494,19.81924745,2.03e-87,6.52e-86,769.3181965,815.4032254,761.753745,3295.745818,3913.794079,3793.545682,"SPD_1924","SP_RS10685","SPT_RS10435","SPT_2107","SPD_RS10125","membrane protein","UNKNOWN","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","EamA domain protein - putative membrane transporter"
"59","SP_0159",70,2198.555527,2.172867128,0.110043348,19.74555632,8.76e-87,2.77e-85,738.234633,823.7540996,819.4533026,3454.755925,3906.963723,3448.171479,"SPD_0161","SP_RS00820","SPT_RS01055","SPT_0207","SPD_RS00885","conserved hypothetical protein","UNKNOWN","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"",""
"60","SP_2022",71,920.7385316,3.119339112,0.158457314,19.68567459,2.86e-86,8.93e-85,222.7655384,206.9823842,142.0066832,1669.881228,1700.758683,1582.036672,"SPD_1831","SP_RS10230","SPT_RS09995","SPT_2018","SPD_RS09675","PTS system, IIC component","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"celB","PTS system, cellobiose-specific IIC component"
"61","SP_0715",72,3042.262293,-2.197118648,0.111675438,-19.67414405,3.59e-86,1.11e-84,4725.9968,4838.73516,5418.078148,1012.932897,1127.008766,1130.821988,"SPD_0621","SP_RS03500","SPT_RS03645","SPT_0731","SPD_RS03320","lactate oxidase","VARIOUS","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"lctO-2","lactate oxidase"
